yearID,lgID,R,RA,G,leagueRPG,leagueRAPG
1901,AL,5873,5873,1082,5.427911275415896,5.427911275415896
1901,NL,5194,5194,1108,4.687725631768953,4.687725631768953
1902,AL,5407,5407,1088,4.969669117647059,4.969669117647059
1902,NL,4494,4494,1098,4.092896174863388,4.092896174863388
1903,AL,4543,4543,1096,4.1450729927007295,4.1450729927007295
1903,NL,5349,5349,1102,4.853901996370236,4.853901996370236
1904,AL,4433,4433,1216,3.645559210526316,3.645559210526316
1904,NL,4872,4872,1224,3.980392156862745,3.980392156862745
1905,AL,4547,4547,1212,3.7516501650165015,3.7516501650165015
1905,NL,5092,5092,1224,4.160130718954249,4.160130718954249
1906,AL,4494,4491,1202,3.7387687188019965,3.7362728785357735
1906,NL,4387,4387,1214,3.613673805601318,3.613673805601318
1907,AL,4514,4514,1198,3.7679465776293823,3.7679465776293823
1907,NL,4189,4189,1208,3.4677152317880795,3.4677152317880795
1908,AL,4286,4286,1224,3.5016339869281046,3.5016339869281046
1908,NL,4136,4136,1232,3.357142857142857,3.357142857142857
1909,AL,4267,4267,1214,3.514827018121911,3.514827018121911
1909,NL,4543,4543,1222,3.7176759410801963,3.7176759410801963
1910,AL,4577,4577,1218,3.757799671592775,3.757799671592775
1910,NL,5007,5007,1228,4.077361563517916,4.077361563517916
1911,AL,5658,5658,1220,4.637704918032787,4.637704918032787
1911,NL,5506,5506,1216,4.527960526315789,4.527960526315789
1912,AL,5495,5495,1222,4.496726677577741,4.496726677577741
1912,NL,5659,5659,1216,4.6537828947368425,4.6537828947368425
1913,AL,4823,4823,1218,3.9597701149425286,3.9597701149425286
1913,NL,5141,5141,1208,4.255794701986755,4.255794701986755
1914,AL,4610,4610,1226,3.760195758564437,3.760195758564437
1914,NL,4798,4798,1230,3.9008130081300814,3.9008130081300814
1915,AL,4922,4922,1222,4.027823240589198,4.027823240589198
1915,NL,4522,4522,1222,3.700490998363339,3.700490998363339
1916,AL,4599,4599,1230,3.7390243902439027,3.7390243902439027
1916,NL,4290,4290,1224,3.5049019607843137,3.5049019607843137
1917,AL,4540,4540,1226,3.703099510603589,3.703099510603589
1917,NL,4408,4408,1224,3.6013071895424837,3.6013071895424837
1918,AL,3703,3703,1004,3.6882470119521913,3.6882470119521913
1918,NL,3682,3682,1008,3.6527777777777777,3.6527777777777777
1919,AL,4586,4586,1114,4.11669658886894,4.11669658886894
1919,NL,4071,4071,1112,3.660971223021583,3.660971223021583
1920,AL,5869,5869,1228,4.779315960912052,4.779315960912052
1920,NL,4893,4893,1228,3.984527687296417,3.984527687296417
1921,AL,6303,6303,1228,5.1327361563517915,5.1327361563517915
1921,NL,5632,5632,1224,4.601307189542483,4.601307189542483
1922,AL,5865,5865,1232,4.7605519480519485,4.7605519480519485
1922,NL,6194,6194,1230,5.035772357723578,5.035772357723578
1923,AL,5887,5887,1222,4.817512274959084,4.817512274959084
1923,NL,5987,5987,1230,4.867479674796748,4.867479674796748
1924,AL,6141,6141,1224,5.017156862745098,5.017156862745098
1924,NL,5581,5581,1224,4.559640522875817,4.559640522875817
1925,AL,6401,6401,1224,5.229575163398692,5.229575163398692
1925,NL,6195,6195,1224,5.061274509803922,5.061274509803922
1926,AL,5831,5831,1222,4.771685761047463,4.771685761047463
1926,NL,5612,5612,1222,4.5924713584288055,4.5924713584288055
1927,AL,6094,6094,1228,4.962540716612378,4.962540716612378
