yearID,R,RA,G,leagueRPG,leagueRAPG
1901,11067,11067,2190,5.053424657534246,5.053424657534246
1902,9901,9901,2186,4.529277218664227,4.529277218664227
1903,9892,9892,2198,4.500454959053685,4.500454959053685
1904,9305,9305,2440,3.8135245901639343,3.8135245901639343
1905,9639,9639,2436,3.956896551724138,3.956896551724138
1906,8881,8878,2416,3.67591059602649,3.6746688741721854
1907,8703,8703,2406,3.617206982543641,3.617206982543641
1908,8422,8422,2456,3.429153094462541,3.429153094462541
1909,8810,8810,2436,3.616584564860427,3.616584564860427
1910,9584,9584,2446,3.918233851185609,3.918233851185609
1911,11164,11164,2436,4.582922824302135,4.582922824302135
1912,11154,11154,2438,4.575061525840853,4.575061525840853
1913,9964,9964,2426,4.10717230008244,4.10717230008244
1914,9408,9408,2456,3.8306188925081432,3.8306188925081432
1915,9444,9444,2444,3.8641571194762685,3.8641571194762685
1916,8889,8889,2454,3.622249388753056,3.622249388753056
1917,8948,8948,2450,3.6522448979591835,3.6522448979591835
1918,7385,7385,2012,3.6704771371769382,3.6704771371769382
1919,8657,8657,2226,3.889038634321653,3.889038634321653
1920,10762,10762,2456,4.381921824104235,4.381921824104235
1921,11935,11935,2452,4.867455138662317,4.867455138662317
1922,12059,12059,2462,4.8980503655564585,4.8980503655564585
1923,11874,11874,2452,4.84257748776509,4.84257748776509
1924,11722,11722,2448,4.788398692810458,4.788398692810458
1925,12596,12596,2448,5.145424836601308,5.145424836601308
1926,11443,11443,2444,4.682078559738134,4.682078559738134
1927,11745,11745,2456,4.782166123778501,4.782166123778501
1928,11645,11645,2454,4.745313773431133,4.745313773431133
1929,12747,12747,2442,5.21990171990172,5.21990171990172
1930,13695,13695,2464,5.558035714285714,5.558035714285714
1931,11892,11892,2454,4.845965770171149,4.845965770171149
1932,12116,12116,2456,4.9332247557003255,4.9332247557003255
1933,10988,10988,2432,4.5180921052631575,4.5180921052631575
1934,12000,12000,2430,4.938271604938271,4.938271604938271
1935,12026,12026,2438,4.9327317473338805,4.9327317473338805
1936,12846,12846,2456,5.230456026058632,5.230456026058632
1937,12070,12070,2452,4.922512234910277,4.922512234910277
1938,11969,11969,2414,4.958160729080364,4.958160729080364
1939,11876,11876,2442,4.863226863226863,4.863226863226863
1940,11568,11568,2456,4.710097719869707,4.710097719869707
1941,11168,11168,2462,4.536149471974005,4.536149471974005
1942,9995,9995,2430,4.113168724279835,4.113168724279835
1943,9694,9694,2454,3.950285248573757,3.950285248573757
1944,10353,10353,2462,4.205117790414297,4.205117790414297
1945,10286,10286,2436,4.222495894909688,4.222495894909688
1946,9953,9953,2466,4.036090835360908,4.036090835360908
1947,10827,10827,2464,4.394074675324675,4.394074675324675
1948,11328,11328,2460,4.6048780487804875,4.6048780487804875
1949,11426,11426,2464,4.637175324675325,4.637175324675325
1950,12013,12013,2460,4.883333333333334,4.883333333333334
1951,11268,11268,2470,4.561943319838057,4.561943319838057
1952,10349,10349,2462,4.203493095044679,4.203493095044679
1953,11426,11426,2458,4.648494711147274,4.648494711147274
1954,10827,10827,2464,4.394074675324675,4.394074675324675
1955,11069,11069,2462,4.4959382615759544,4.4959382615759544
1956,11031,11031,2464,4.476866883116883,4.476866883116883
1957,10636,10636,2460,4.323577235772357,4.323577235772357
1958,10578,10578,2462,4.296506904955321,4.296506904955321
1959,10853,10853,2468,4.3974878444084275,4.3974878444084275
1960,10664,10664,2464,4.327922077922078,4.327922077922078
1961,12942,12942,2846,4.547434996486296,4.547434996486296
1962,14461,14461,3236,4.468788627935723,4.468788627935723
1963,12780,12780,3236,3.949320148331273,3.949320148331273
1964,13124,13124,3240,4.050617283950618,4.050617283950618
1965,12946,12946,3238,3.9981470043236564,3.9981470043236564
1966,12900,12900,3226,3.9987600743955363,3.9987600743955363
1967,12210,12210,3234,3.7755102040816326,3.7755102040816326
1968,11109,11109,3238,3.4308214947498454,3.4308214947498454
1969,15850,15850,3886,4.07874420998456,4.07874420998456
1970,16880,16880,3886,4.343798250128667,4.343798250128667
1971,15073,15073,3874,3.890810531750129,3.890810531750129
1972,13706,13706,3716,3.6883745963401506,3.6883745963401506
1973,16376,16376,3884,4.2162718846549945,4.2162718846549945
1974,16046,16046,3882,4.133436373003606,4.133436373003606
1975,16295,16295,3866,4.214950853595448,4.214950853595448
1976,15492,15492,3878,3.99484270242393,3.99484270242393
1977,18803,18803,4206,4.470518307180218,4.470518307180218
1978,17251,17251,4204,4.103472882968601,4.103472882968601
1979,18713,18713,4194,4.461850262279447,4.461850262279447
1980,18053,18053,4202,4.296287482151357,4.296287482151357
1981,11147,11147,2778,4.012598992080633,4.012598992080633
1982,18110,18110,4212,4.299620132953466,4.299620132953466
1983,18170,18170,4212,4.313865147198481,4.313865147198481
1984,17921,17921,4208,4.258792775665399,4.258792775665399
1985,18216,18216,4202,4.335078534031414,4.335078534031414
1986,18545,18545,4204,4.4112749762131305,4.4112749762131305
1987,19883,19883,4210,4.722802850356294,4.722802850356294
1988,17380,17380,4196,4.142040038131554,4.142040038131554
1989,17405,17405,4206,4.138135996195911,4.138135996195911
1990,17919,17919,4210,4.256294536817102,4.256294536817102
1991,18127,18127,4208,4.307747148288973,4.307747148288973
1992,17341,17341,4212,4.1170465337132,4.1170465337132
1993,20864,20864,4536,4.599647266313933,4.599647266313933
1994,15752,15752,3198,4.925578486554096,4.925578486554096
1995,19554,19554,4032,4.849702380952381,4.849702380952381
1996,22831,22831,4532,5.037731685789939,5.037731685789939
1997,21604,21604,4532,4.766990291262136,4.766990291262136
1998,23297,23297,4860,4.7936213991769545,4.7936213991769545
1999,24691,24691,4854,5.0867325916769675,5.0867325916769675
2000,24971,24971,4856,5.142298187808896,5.142298187808896
2001,23199,23199,4856,4.777388797364086,4.777388797364086
2002,22408,22408,4850,4.62020618556701,4.62020618556701
2003,22978,22978,4858,4.729930012350762,4.729930012350762
2004,23376,23376,4856,4.813838550247117,4.813838550247117
