Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Thursday Mar 29,boxscore,SEA,,CLE,W,2,1,,1-0,1,Tied,Hernandez,Kluber,Diaz,2:35,N,47149,+,
2,Saturday Mar 31,boxscore,SEA,,CLE,L,5,6,,1-1,3,0.5,Carrasco,Paxton,Allen,2:47,D,35881,-,
3,Sunday Apr 1,boxscore,SEA,,CLE,W,5,4,,2-1,3,0.5,Leake,Otero,Diaz,2:57,D,24506,+,
4,Tuesday Apr 3,boxscore,SEA,@,SFG,W,6,4,,3-1,2,1.0,Gonzales,Blach,Diaz,3:02,D,40901,++,
5,Wednesday Apr 4,boxscore,SEA,@,SFG,L,1,10,,3-2,3,2.0,Cueto,Hernandez,,2:52,D,42582,-,
6,Thursday Apr 5,boxscore,SEA,@,MIN,L,2,4,,3-3,3,2.5,Duke,Altavilla,Rodney,3:09,D,39214,--,
7,Saturday Apr 7,boxscore,SEA,@,MIN,W,11,4,,4-3,3,2.0,Leake,Berrios,,3:36,D,18416,+,
8,Monday Apr 9,boxscore,SEA,@,KCR,L,0,10,,4-4,3,3.5,Junis,Gonzales,,2:45,N,12324,-,
9,Tuesday Apr 10,boxscore,SEA,@,KCR,W,8,3,,5-4,3,2.5,Hernandez,Skoglund,,2:58,N,14850,+,
10,Wednesday Apr 11,boxscore,SEA,@,KCR,W,4,2,,6-4,3,2.5,Vincent,Grimm,Diaz,2:48,D,14314,++,
11,Friday Apr 13,boxscore,SEA,,OAK,W,7,4,,7-4,3,3.0,Altavilla,Coulombe,Diaz,3:08,N,25352,+++,
12,Saturday Apr 14,boxscore,SEA,,OAK,W,10,8,,8-4,3,3.0,Bradford,Graveman,Diaz,3:32,N,29013,++++,
13,Sunday Apr 15,boxscore,SEA,,OAK,L,1,2,,8-5,3,3.5,Manaea,Hernandez,Treinen,2:40,D,25882,-,
14,Monday Apr 16,boxscore,SEA,,HOU,W,2,1,,9-5,2,3.0,Paxton,Keuchel,Diaz,2:21,N,12923,+,
15,Tuesday Apr 17,boxscore,SEA,,HOU,L,1,4,,9-6,3,3.0,McCullers,Altavilla,Devenski,2:48,N,15382,-,
16,Wednesday Apr 18,boxscore,SEA,,HOU,L,1,7,,9-7,3,3.0,Cole,Leake,,2:45,N,14643,--,
17,Thursday Apr 19,boxscore,SEA,,HOU,L,2,9,,9-8,3,3.0,Morton,Gonzales,,3:02,D,16927,---,
18,Friday Apr 20,boxscore,SEA,@,TEX,W,6,2,,10-8,3,2.5,Nicasio,Kela,,3:20,N,27811,+,
19,Saturday Apr 21,boxscore,SEA,@,TEX,W,9,7,,11-8,3,2.5,Bradford,Claudio,Diaz,3:29,N,39016,++,
20,Sunday Apr 22,boxscore,SEA,@,TEX,L,4,7,,11-9,3,3.5,Perez,Ramirez,Kela,2:55,D,33661,-,
21,Monday Apr 23,boxscore,SEA,@,CHW,L,4,10,,11-10,3,3.5,Fulmer,Leake,Beck,2:56,N,13614,--,
22,Tuesday Apr 24,boxscore,SEA,@,CHW,W,1,0,,12-10,3,3.0,Gonzales,Volstad,Diaz,2:52,D,10761,+,
23,Wednesday Apr 25,boxscore,SEA,@,CHW,W,4,3,,13-10,3,2.5,Hernandez,Shields,Diaz,2:57,D,11417,++,
24,Thursday Apr 26,boxscore,SEA,@,CLE,W,5,4,,14-10,3,2.0,Altavilla,Goody,Diaz,2:46,N,12133,+++,
25,Friday Apr 27,boxscore,SEA,@,CLE,L,5,6,,14-11,3,2.0,Kluber,Ramirez,,2:36,N,16335,-,
26,Saturday Apr 28,boxscore,SEA,@,CLE,W,12,4,,15-11,3,2.0,Leake,Carrasco,,3:00,D,19172,+,
27,Sunday Apr 29,boxscore,SEA,@,CLE,W,10,4,,16-11,2,2.0,Gonzales,Tomlin,,3:01,D,17878,++,
28,Tuesday May 1,boxscore,SEA,,OAK,W,6,3,,17-11,2,1.5,Hernandez,Triggs,Diaz,3:06,N,12468,+++,
29,Wednesday May 2,boxscore,SEA,,OAK,L,2,3,,17-12,3,1.5,Treinen,Diaz,,2:25,N,11603,-,
30,Thursday May 3,boxscore,SEA,,OAK,W,4,1,,18-12,3,0.5,Bradford,Manaea,Diaz,2:31,N,12888,+,
31,Friday May 4,boxscore,SEA,,LAA,L,0,5,,18-13,3,1.5,Richards,Leake,,3:10,N,41705,-,
32,Saturday May 5,boxscore,SEA,,LAA,W-wo,9,8,11,19-13,3,0.5,Goeddel,Johnson,,4:29,N,36977,+,
33,Sunday May 6,boxscore,SEA,,LAA,L,2,8,,19-14,3,1.5,Ohtani,Hernandez,,3:11,D,40142,-,
34,Tuesday May 8,boxscore,SEA,@,TOR,W,5,0,,20-14,3,1.0,Paxton,Stroman,,2:19,N,20513,+,
